datetime,kp
2012-07-13 17:13:50,0.555846
2012-07-13 17:23:39,0.55591
2012-07-13 17:33:17,0.55588
2012-07-13 17:43:33,0.555611
2012-07-13 17:53:46,0.555233
2012-07-13 18:03:59,0.55474
2012-07-13 18:13:32,0.554256
2012-07-13 18:23:47,0.553582
2012-07-13 18:33:27,0.552948
2012-07-13 18:43:47,0.552171
2012-07-13 18:53:33,0.551451
2012-07-13 19:03:57,0.550453
2012-07-13 19:13:49,0.549302
2012-07-13 19:23:43,0.540404
2012-07-13 19:33:40,0.507118
2012-07-13 19:43:40,0.462256
2012-07-13 19:53:42,0.997319
2012-07-13 20:03:45,3.40846
2012-07-13 20:13:51,9.0
2012-07-13 20:23:58,9.0
2012-07-13 20:33:30,9.0
2012-07-13 20:43:39,9.0
2012-07-13 20:53:49,9.0
2012-07-13 21:03:22,9.0
2012-07-13 21:13:32,9.0
2012-07-13 21:23:43,9.0
2012-07-13 21:33:54,9.0
2012-07-13 21:43:24,9.0
2012-07-13 21:53:35,9.0
2012-07-13 22:03:46,9.0
2012-07-13 22:13:58,9.0
2012-07-13 22:23:27,9.0
2012-07-13 22:33:40,9.0
2012-07-13 22:43:53,9.0
2012-07-13 22:53:19,9.0
2012-07-13 23:03:32,9.0
2012-07-13 23:13:46,9.0
2012-07-13 23:23:09,9.0
2012-07-13 23:33:22,9.0
2012-07-13 23:43:36,9.0
2012-07-13 23:53:50,9.0
2012-07-14 00:03:09,9.0
2012-07-14 00:13:22,9.0
2012-07-14 00:23:36,9.0
2012-07-14 00:33:49,9.0
2012-07-14 00:43:01,9.0
2012-07-14 00:53:13,9.0
2012-07-14 01:03:24,9.0
2012-07-14 01:13:36,9.0
2012-07-14 01:23:47,9.0
2012-07-14 01:33:59,9.0
2012-07-14 01:43:02,9.0
2012-07-14 01:53:12,9.0
2012-07-14 02:03:21,9.0
2012-07-14 02:13:31,9.0
2012-07-14 02:23:41,9.0
2012-07-14 02:33:51,9.0
2012-07-14 02:42:45,9.0
2012-07-14 02:52:53,9.0
2012-07-14 03:02:59,9.0
2012-07-14 03:13:46,9.0
2012-07-14 03:23:57,9.0
2012-07-14 03:33:34,9.0
2012-07-14 03:43:57,9.0
2012-07-14 03:53:47,9.0
2012-07-14 04:03:57,9.0
2012-07-14 04:13:46,9.0
2012-07-14 04:23:52,9.0
2012-07-14 04:33:52,8.8125
2012-07-14 04:43:58,8.41573
2012-07-14 04:53:55,8.13921
2012-07-14 05:03:57,7.9878
2012-07-14 05:13:51,7.98952
2012-07-14 05:23:55,8.14134
2012-07-14 05:33:56,8.4231
2012-07-14 05:43:55,8.78841
2012-07-14 05:53:49,9.0
2012-07-14 06:03:54,9.0
2012-07-14 06:13:56,9.0
2012-07-14 06:23:57,9.0
2012-07-14 06:33:56,9.0
2012-07-14 06:43:57,9.0
2012-07-14 06:53:58,9.0
2012-07-14 07:03:58,9.0
2012-07-14 07:13:58,9.0
2012-07-14 07:23:57,9.0
2012-07-14 07:33:54,9.0
2012-07-14 07:43:54,9.0
2012-07-14 07:53:55,9.0
2012-07-14 08:03:54,9.0
2012-07-14 08:13:52,9.0
2012-07-14 08:23:57,9.0
2012-07-14 08:33:56,9.0
2012-07-14 08:43:53,8.80605
2012-07-14 08:53:56,8.53656
2012-07-14 09:03:56,8.2678
2012-07-14 09:13:55,8.0054
2012-07-14 09:23:51,7.75037
2012-07-14 09:33:50,7.50128
2012-07-14 09:43:57,7.25426
2012-07-14 09:53:54,7.01268
2012-07-14 10:03:56,6.77926
2012-07-14 10:13:55,6.55491
2012-07-14 10:23:51,6.33947
2012-07-14 10:33:55,6.13185
2012-07-14 10:43:58,5.9308
2012-07-14 10:53:49,5.73683
2012-07-14 11:03:50,5.54972
2012-07-14 11:13:51,5.36861
2012-07-14 11:23:51,5.19499
2012-07-14 11:33:51,5.03068
2012-07-14 11:43:52,4.87223
2012-07-14 11:53:53,4.71537
2012-07-14 12:03:53,4.55962
2012-07-14 12:13:52,4.40629
2012-07-14 12:23:49,4.25678
2012-07-14 12:33:46,4.11108
2012-07-14 12:43:57,3.9692
2012-07-14 12:53:53,3.83161
2012-07-14 13:03:47,3.70108
2012-07-14 13:13:54,3.57349
2012-07-14 13:23:46,3.44856
2012-07-14 13:33:52,3.32778
2012-07-14 13:43:57,3.21313
2012-07-14 13:53:47,3.10522
2012-07-14 14:03:52,3.00339
2012-07-14 14:13:57,2.90698
2012-07-14 14:23:46,2.81559
2012-07-14 14:33:51,2.72863
2012-07-14 14:43:56,2.64587
2012-07-14 14:53:45,2.56694
2012-07-14 15:03:50,2.49098
2012-07-14 15:13:55,2.41778
2012-07-14 15:23:43,2.34758
2012-07-14 15:33:47,2.2806
2012-07-14 15:43:52,2.2171
2012-07-14 15:53:57,2.1572
2012-07-14 16:03:44,2.10188
2012-07-14 16:13:48,2.0516
2012-07-14 16:23:51,2.00766
2012-07-14 16:33:53,1.96857
2012-07-14 16:43:55,1.9349
2012-07-14 16:53:58,1.9062
2012-07-14 17:03:42,1.87993
2012-07-14 17:13:45,1.8552
2012-07-14 17:23:47,1.83374
2012-07-14 17:33:49,1.81758
2012-07-14 17:43:52,1.80883
2012-07-14 17:53:54,1.80552
2012-07-14 18:03:56,1.80267
2012-07-14 18:13:41,1.79809
2012-07-14 18:23:43,1.79027
2012-07-14 18:33:46,1.77831
2012-07-14 18:43:49,1.76115
2012-07-14 18:53:52,1.73868
2012-07-14 19:03:55,1.71259
2012-07-14 19:13:40,1.68444
2012-07-14 19:23:42,1.6556
2012-07-14 19:33:47,1.62542
2012-07-14 19:43:50,1.59322
2012-07-14 19:53:54,1.56278
2012-07-14 20:03:57,1.53681
2012-07-14 20:13:40,1.51471
2012-07-14 20:23:42,1.49452
2012-07-14 20:33:44,1.47402
2012-07-14 20:43:46,1.45147
2012-07-14 20:53:49,1.42682
2012-07-14 21:03:51,1.39888
2012-07-14 21:13:54,1.36835
2012-07-14 21:23:56,1.33659
2012-07-14 21:33:39,1.30358
2012-07-14 21:43:42,1.26975
2012-07-14 21:53:46,1.23632
2012-07-14 22:03:50,1.20368
2012-07-14 22:13:54,1.17155
2012-07-14 22:23:58,1.13996
2012-07-14 22:33:42,1.10915
2012-07-14 22:43:46,1.07941
2012-07-14 22:53:51,1.05095
2012-07-14 23:03:57,1.0237
2012-07-14 23:13:40,0.997613
2012-07-14 23:23:45,0.972726
2012-07-14 23:33:50,0.949011
2012-07-14 23:43:56,0.926445
2012-07-14 23:53:39,0.904863
2012-07-15 00:03:44,0.884284
2012-07-15 00:13:50,0.864592
2012-07-15 00:23:55,0.845071
2012-07-15 00:33:38,0.822873
2012-07-15 00:43:43,0.801237
2012-07-15 00:53:49,0.78048
2012-07-15 01:03:55,0.760883
2012-07-15 01:13:37,0.742775
2012-07-15 01:23:43,0.726105
2012-07-15 01:33:49,0.710194
2012-07-15 01:43:55,0.694297
2012-07-15 01:53:35,0.678653
2012-07-15 02:03:40,0.663139
2012-07-15 02:13:46,0.647969
2012-07-15 02:23:51,0.633166
2012-07-15 02:33:57,0.618715
2012-07-15 02:43:36,0.60474
2012-07-15 02:53:41,0.590927
2012-07-15 03:03:46,0.577435
2012-07-15 03:13:52,0.564219
2012-07-15 03:23:57,0.551211
2012-07-15 03:33:35,0.538562
2012-07-15 03:43:40,0.525988
2012-07-15 03:53:45,0.513646
2012-07-15 04:03:49,0.50153
2012-07-15 04:13:54,0.489618
2012-07-15 04:23:31,0.478039
2012-07-15 04:33:35,0.466434
2012-07-15 04:43:40,0.454949
2012-07-15 04:53:45,0.443602
2012-07-15 05:03:50,0.43242
2012-07-15 05:13:54,0.421438
2012-07-15 05:23:29,0.410835
2012-07-15 05:33:33,0.400334
2012-07-15 05:43:38,0.390133
2012-07-15 05:53:42,0.380261
2012-07-15 06:03:47,0.370731
2012-07-15 06:13:51,0.361567
2012-07-15 06:23:55,0.352765
2012-07-15 06:33:28,0.344457
2012-07-15 06:43:32,0.336385
2012-07-15 06:53:36,0.328667
2012-07-15 07:03:40,0.321311
2012-07-15 07:13:44,0.314322
2012-07-15 07:23:47,0.30769
2012-07-15 07:33:51,0.301416
2012-07-15 07:43:55,0.295502
2012-07-15 07:53:26,0.290033
2012-07-15 08:03:29,0.284804
2012-07-15 08:13:33,0.279879
2012-07-15 08:23:37,0.275242
2012-07-15 08:33:40,0.270877
2012-07-15 08:43:43,0.266758
2012-07-15 08:53:46,0.26287
2012-07-15 09:03:50,0.259213
2012-07-15 09:13:53,0.255781
2012-07-15 09:23:56,0.252588
2012-07-15 09:33:24,0.249685
2012-07-15 09:43:27,0.246959
2012-07-15 09:53:30,0.244444
2012-07-15 10:03:33,0.242111
2012-07-15 10:13:36,0.239947
